id,state,district,crop,org_val,pred_val
67,Andhra Pradesh,SRIKAKULAM,Jowar,0.844600373919085,0.504238396829701
68,Andhra Pradesh,SRIKAKULAM,Ragi,1.28921181460807,1.31049932234584
69,Andhra Pradesh,SRIKAKULAM,Rice,2.29084848841106,2.24843203625029
70,Andhra Pradesh,SRIKAKULAM,Sugarcane,72.33364429123,75.8834284850337
71,Andhra Pradesh,SRIKAKULAM,Maize,5.03980417992723,5.93351381208086
72,Andhra Pradesh,VISAKHAPATANAM,Bajra,0.896179748890941,0.863347126414593
73,Andhra Pradesh,VISAKHAPATANAM,Groundnut,1.5978870637789,1.63765137537825
74,Andhra Pradesh,VISAKHAPATANAM,Jowar,1.21889722188414,1.38560750536432
75,Andhra Pradesh,VISAKHAPATANAM,Maize,4.34444928695849,3.38441022893304
76,Andhra Pradesh,VISAKHAPATANAM,Ragi,1.30019289727298,1.17581579127954
77,Andhra Pradesh,VISAKHAPATANAM,Rice,1.80294857689968,1.83006414502603
78,Andhra Pradesh,VISAKHAPATANAM,Sugarcane,52.4805574700953,52.1263178457571
79,Andhra Pradesh,VIZIANAGARAM,Bajra,0.97697374135646,0.927799645605991
80,Andhra Pradesh,VIZIANAGARAM,Groundnut,1.20155677674593,1.18478618210365
81,Andhra Pradesh,VIZIANAGARAM,Jowar,1.16973390272264,1.12683177622769
82,Andhra Pradesh,VIZIANAGARAM,Maize,3.9378036653878,3.90571215161933
83,Andhra Pradesh,VIZIANAGARAM,Ragi,1.30529974291854,1.31443391318944
84,Andhra Pradesh,VIZIANAGARAM,Rice,2.40454234500599,2.45024108624162
85,Andhra Pradesh,VIZIANAGARAM,Sugarcane,59.4408504123358,58.44960223479
86,Andhra Pradesh,WEST GODAVARI,Groundnut,1.83147791997086,1.92121248008477
87,Andhra Pradesh,WEST GODAVARI,Jowar,1.36502987509045,1.52760873695642
88,Andhra Pradesh,WEST GODAVARI,Maize,5.06157779717265,4.59517132703218
89,Andhra Pradesh,WEST GODAVARI,Rice,3.60160563391394,3.7826156323159
90,Andhra Pradesh,WEST GODAVARI,Sugarcane,90.1988472503527,88.7985788554299
91,Bihar,ARARIA,Rice,1.42404046769496,1.49925016623385
92,Bihar,ARARIA,Jute,7.98058458094142,7.70360808452529
93,Bihar,ARARIA,Maize,3.20204261767015,2.88780049293209
94,Bihar,ARARIA,Wheat,1.73751537479089,1.82348751080201
