id,crop,Gross_Production_Value_constant_2004_2006_1000_dollar,Net_Production_Value_constant_2004_2006_1000_dollar,Gross_Production_Value_current_million_SLC,Gross_Production_Value_constant_2004_2006_million_SLC,Gross_Production_Value_current_million_US_dollar,Gross_Production_Value_constant_2004_2006_million_US_dollar
77,Sugarcane,11563286.854,10753856.77422,455182.27062,270797.198,7458.395739,6030.356812
78,Sugarcane,11897928.721,11088498.64122,496602.73981,278634.077,7741.039558,6204.875519
79,Sugarcane,11441986.976,10632556.89622,499597.77344,267956.512,7435.009267,5967.097849
80,Tea,1034763.121,1034763.121,18034.90528,13701.90276,436.167956,305.178553
81,Tea,1049651.799,1049651.799,18039.68523,13899.05244,414.655998,309.569612
82,Tea,1034444.0779,1034444.0779,19640.087237,13697.678124,405.742775,305.084459
83,Tea,1054099.259814,1054099.259814,23561.645029,13957.943866,515.281062,310.881283
84,Tea,1164996.51442,1164996.51442,28397.127578,15426.399175,608.460331,343.587768
85,Tea,1207120.83839,1207120.83839,31927.850547,15984.191948,597.483226,356.011326
86,Tea,1285509.72806,1285509.72806,32527.133547,17022.185014,555.090948,379.130248
87,Tea,1283946.41687,1283946.41687,35214.009182,17001.484297,576.999661,378.669187
88,Tea,1311416.02778,1311416.02778,38136.580896,17365.225457,594.47272,386.77069
89,Tea,1331658.107807,1331658.107807,40511.180431,17633.262659,602.886998,392.740606
90,Wheat,11960933.370528,11308016.140049,758067.04,613933.226795,18333.589583,13676.570681
91,Wheat,12396963.2964,11730254.830583,848558.16,636313.859733,19504.760008,14175.143319
92,Wheat,12729757.0908,12025636.666734,962585.114606,653395.567467,19885.958304,14555.671971
93,Wheat,12749353.6152,12004194.227049,1134997.262932,654401.421867,24821.806553,14578.079357
94,Wheat,13707153.468,12934458.952924,1330698.57618,703563.568,28512.647745,15673.2629
95,Wheat,14970356.16,14203120.455601,1577007.1216,768401.493333,29511.39165,17117.65527
96,Wheat,14754194.82,13978312.425328,1486854.8199,757306.32,25373.882083,16870.488452
97,Wheat,15123404.7,14340115.47106,1651965.165,776257.2,27068.299324,17292.656594
98,Wheat,13652876.46,12869587.23106,1581277.7749,700777.626667,24648.945377,15611.200575
99,Wheat,14752617,13969327.77106,1787449.785,757225.333333,26600.810538,16868.684315
